字段2,字段1
3ce-化妆品,"35,693
                        "
hbn,"
                        591
                    "
蜜丝婷-化妆品,"41,287
                        "
sk-ii-化妆品,"79,968
                        "
圣罗兰-化妆品,"827,526
                        "
zeesea-化妆品,"5,722
                        "
阿玛尼-化妆品,"286,691
                        "
瑷尔博士,"
                        603
                    "
安热沙-化妆品,"20,398
                        "
芭比波朗-化妆品,"17,584
                        "
柏瑞美-化妆品,"17,230
                        "
宝格丽-化妆品,"30,035
                        "
贝览得-化妆品,"44
                        "
贝印-化妆品,"683
                        "
迪奥-化妆品,"722,062
                        "
娥佩兰-化妆品,"2,286
                        "
尔木萄-化妆品,"7,463
                        "
范思哲-化妆品,"100,105
                        "
海蓝之谜-化妆品,"305,609
                        "
后-化妆品,"13,870
                        "
肌肤之钥-化妆品,"91,196
                        "
卡姿兰-化妆品,"107,960
                        "
蔻驰-化妆品,"15,079
                        "
兰蔻-化妆品,"574,174
                        "
黎漾-化妆品,"210
                        "
,
柳丝木-化妆品,"10,030
                        "
曼秀雷敦-化妆品,"23,885
                        "
美肤语-化妆品,"30
                        "
南京同仁堂,"
                        988
                    "
欧莱雅-化妆品,"302,941
                        "
苏泉,"
                        50
                    "
糖果小姐-化妆品,"52
                        "
薇诺娜-化妆品,"61,231
                        "
溪木源,"
                        678
                    "
修丽可-化妆品,"59,757
                        "
雅诗兰黛-化妆品,"547,642
                        "
悠珂思-化妆品,"3,696
                        "
悠宜-化妆品,"2,693
                        "
羽西-化妆品,"16,920
                        "
植物主义-化妆品,"10,927
                        "
资生堂-化妆品,"110,329
                        "
祖玛珑-化妆品,"45,182
                        "
理肤泉-化妆品,"59,212
                        "
香奈儿-化妆品,"887,915
                        "
